العربية,English,বাংলা,فارسی,Français,Indonesia,Italiano,Dutch,Português,русский,Shqip,ภาษาไทย,Türkçe,اردو,简体中文,Melayu,Español,Kiswahili,Tiếng Việt
"القرآن","Quran","কুরআন","قرآن","Coran","Al-Quran","Corano","Koran","Alcorão","Коран","Kurani","อัลกุรอาน","Kuran","قرآن","古兰经","Al-Quran","Corán","Quran","Kinh Quran"
"القرآن الكريم","Holy Quran","পবিত্র কুরআন","قرآن کریم","Saint Coran","Al-Quran Suci","Sacro Corano","Heilige Koran","Alcorão Sagrado","Священный Коран","Kurani Famëlartë","อัลกุรอานศักดิ์สิทธิ์","Kuran Kerim","قرآن مجید","神圣古兰经","Al-Quran Suci","Sagrado Corán","Quran Tukufu","Nghe Kinh Quran"
"استماع القرآن","Listen Quran","কুরআন শুনুন","شنیدن قرآن","Écouter le Coran","Dengarkan Al-Quran","Ascolta il Corano","Luister Koran","Ouvir Alcorão","Слушать Коран","Dëgjo Kuranin","ฟังอัลกุรอาน","Kuran Dinle","قرآن سنیں","听古兰经","Dengar Al-Quran","Escuchar Corán","Sikiliza Quran","Đọc Kinh Quran"
"قراءة القرآن","Read Quran","কুরআন পড়ুন","خواندن قرآن","Lire le Coran","Baca Al-Quran","Leggi il Corano","Lees Koran","Ler Alcorão","Читать Коран","Lexo Kuranin","อ่านอัลกุรอาน","Kuran Oku","قرآن پڑھیں","读古兰经","Baca Al-Quran","Leer Corán","Soma Quran","Tafsir"
"تفسير","Tafsir","তাফসির","تفسیر","Tafsir","Tafsir","Tafsir","Tafsir","Tafsir","Тафсир","Tefsir","ตัฟซีร","Tefsir","تفسیر","塔夫斯","Tafsir","Tafsir","Tafsir","Hadith"
"أحاديث نبوية","Hadith","হাদিস","حدیث","Hadith","Hadis","Hadith","Hadith","Hadith","Хадис","Hadith","หะดีษ","Hadis","حدیث","圣训","Hadis","Hadiz","Hadith","Tụng niệm"
"تلاوة","Recitation","তিলাওয়াত","تلاوت","Récitation","Tilawah","Recitazione","Recitatie","Recitação","Чтение","Recitim","การอ่านซ้ำ","Tilavet","تلاوت","朗诵","Tilawah","Recitación","Kisomo","Kinh Quran trực tuyến"
"مصحف","Mushaf","কুরআন অনলাইন","قرآن آنلاین","Coran en ligne","Al-Quran Online","Corano online","Koran online","Alcorão Online","Коран онлайн","Kuran Online","อัลกุรอานออนไลน์","Kuran Çevrimiçi","آن لائن قرآن","在线古兰经","Al-Quran Dalam Talian","Corán en línea","Quran Mtandaoni","Câu thơ"
"قرآن اونلاين","Quran Online","আয়াত","آیه","Verset","Ayat","Verso","Vers","Versículo","Аят","Ajet","อายะห์","Ayet","آیت","经文","Ayat","Verso","Aya","Surah"
"ايات","Ayah","সূরা","سوره","Sourate","Surah","Sura","Soera","Surata","Сура","Sure","ซูเราะห์","Sure","سورہ","苏拉","Surah","Sura","Sura","Hồi giáo"
"سورة","Surah","কুরআন অডিও","صوت قرآن","Audio Coran","Audio Al-Quran","Audio Corano","Koran audio","Áudio Alcorão","Аудио Коран","Audio Kuran","เสียงอัลกุรอาน","Kuran Sesi","قرآن آڈیو","古兰经音频","Audio Al-Quran","Audio Corán","Sauti ya Quran","Dịch Kinh Quran"
"الذكاء الاصطناعي الإسلامي","Islamic AI Chatbot","কুরআন অনুবাদ","ترجمه قرآن","Traduction Coran","Terjemahan Al-Quran","Traduzione Corano","Koran vertaling","Tradução Alcorão","Перевод Корана","Përkthimi i Kuranit","แปลอัลกุรอาน","Kuran Çevirisi","قرآن کا ترجمہ","古兰经翻译","Terjemahan Al-Quran","Traducción Corán","Tafsiri ya Quran","Âm thanh Kinh Quran"
"مكتوب","Quran Audio","ইসলাম","اسلام","Islam","Islam","Islam","Islam","Islamismo","Ислам","Islam","อิสลาม","İslam","اسلام","伊斯兰教","Islam","Islam","Uislamu","Người Hồi giáo"
"صوت","Tajweed","মুসলিম","مسلمان","Musulman","Muslim","Musulmano","Moslim","Muçulmano","Мусульманин","Musliman","มุสลิม","Müslüman","مسلمان","穆斯林","Muslim","Musulmán","Muislamu","Kinh Quran miễn phí"
"تجويد","Memorize Quran","বিনামূল্যে কুরআন","قرآن رایگان","Coran gratuit","Al-Quran Gratis","Corano gratuito","Gratis Koran","Alcorão grátis","Коран бесплатно","Kuran falas","อัลกุรอานฟรี","Ücretsiz Kuran","مفت قرآن","免费古兰经","Al-Quran Percuma","Corán gratis","Quran bure","Nền tảng Quran thông minh"
"حفظ","Quran Translation","স্মার্ট কুরআন প্ল্যাটফর্ম","پلتفرم هوشمند قرآن","Plateforme Coran intelligente","Platform Quran Cerdas","Piattaforma Corano intelligente","Slim Koran platform","Plataforma Alcorão inteligente","Умная платформа Коран","Platformë e zgjuar Kurani","แพลตฟอร์มอัลกุรอานอัจฉริยะ","Akıllı Kuran Platformu","سمارٹ قرآن پلیٹ فارم","智能古兰经平台","Platform Al-Quran Pintar","Plataforma Corán inteligente","Jukwaa la Quran Smart","Trợ lý Quran AI"
"ترجمة","Islam","ইসলামিক এআই","دستیار قرآنی هوش مصنوعی","Assistant Coran IA","Asisten Quran AI","Assistente Corano IA","Koran AI assistent","Assistente Alcorão IA","Помощник Коран ИИ","Asistent Kurani AI","ผู้ช่วยอัลกุรอาน AI","Kuran AI Asistanı","قرآن اے آئی اسسٹنٹ","古兰经AI助手","Pembantu Al-Quran AI","Asistente Corán IA","Msaidizi Quran AI","Chatbot Hồi giáo"
"فقه","Muslim","কুরআন চ্যাটবট","چت‌بات اسلامی","Chatbot islamique","Chatbot Islam","Chatbot islamico","Islamitische chatbot","Chatbot islâmico","Исламский чатбот","Chatbot islamik","แชทบอทอิสลาม","İslami Chatbot","اسلامک چیٹ بوٹ","伊斯兰聊天机器人","Chatbot Islam","Chatbot islámico","Chatbot ya Kiislamu","Hỏi đáp Quran AI"
"إسلام","Free Quran","কুরআন প্রশ্নোত্তর","پرسش و پاسخ قرآنی","Questions Coran IA","Tanya Jawab Quran AI","Domande Corano IA","Koran vragen AI","Perguntas Alcorão IA","Вопросы Коран ИИ","Pyetje Kurani AI","ถามตอบอัลกุรอาน AI","Kuran Soru Cevap AI","قرآن سوال جواب اے آئی","古兰经问答AI","Soal Jawab Al-Quran AI","Preguntas Corán IA","Maswali Quran AI","Học Quran trực tuyến"
"قرآن مجاني","Smart Quran Platform","অনলাইনে কুরআন শিখুন","یادگیری قرآن آنلاین","Apprendre le Coran en ligne","Belajar Quran Online","Impara il Corano online","Koran online leren","Aprender Alcorão online","Учить Коран онлайн","Mëso Kuranin online","เรียนอัลกุรอานออนไลน์","Online Kuran Öğren","آن لائن قرآن سیکھیں","在线学习古兰经","Belajar Al-Quran Online","Aprender Corán online","Jifunze Quran Mtandaoni","Ứng dụng Quran"
"منصة القرآن الذكية","AI Quran Assistant","কুরআন অ্যাপ","اپ قرآن","Application Coran","Aplikasi Quran","App Corano","Koran app","App Alcorão","Приложение Коран","Aplikacion Kurani","แอปอัลกุรอาน","Kuran Uygulaması","قرآن ایپ","古兰经应用","Aplikasi Al-Quran","Aplicación Corán","Programu ya Quran","Học Tajweed"
"شات بوت إسلامي","Quran Chatbot","তাজউইদ শিক্ষা","آموزش تجوید","Apprendre le Tajweed","Belajar Tajwid","Impara il Tajweed","Tajweed leren","Aprender Tajweed","Учить Таджвид","Mëso Taxhvid","เรียนตัจวีด","Tecvid Öğren","تجوید سیکھیں","学习诵读规则","Belajar Tajwid","Aprender Tajweed","Jifunze Tajweed","Thuộc lòng Quran"
"مساعد قرآني ذكي","Islamic AI","কুরআন হিফজ","حفظ قرآن","Mémorisation Coran","Hafalan Quran","Memorizzazione Corano","Koran memoriseren","Memorização Alcorão","Заучивание Корана","Memorizim Kurani","ท่องจำอัลกุรอาน","Kuran Ezberleme","حفظ قرآن","背诵古兰经","Hafazan Al-Quran","Memorización Corán","Kukariri Quran","Quran tương tác"
